Nazev rodiny;Typ rodiny;ID instance
Základní stěna;NOSNÁ - ŽB 150;1541575
Základní stěna;NOSNÁ - ŽB 150;1541576
Základní stěna;NOSNÁ - ŽB 150;1541577
PROSTUP;PROSTUP ASR - BĚŽNÝ;1541583
Základní stěna;NOSNÁ - ŽB 150;1541589
Podlaha;ZÁKLADOVÁ DESKA - ŽB 200;1542355
Podlaha;LÁVKA - POROROŠT 30;1542384
Podlaha;LÁVKA - POROROŠT 30;1542391
Podlaha;LÁVKA - POROROŠT 30;1542398
Podlaha;LÁVKA - POROROŠT 30;1542405
Podlaha;POKLOP -  LAMELY;1542557
Podlaha;STROPNÍ DESKA - ŽB 200;1542731
Podlaha;STROPNÍ DESKA - ŽB 200;1542757
Podlaha;ZÁKLOP - PLNÁ DESKA 30;1542776
Podlaha;ZÁKLOP - PLNÁ DESKA 30;1542791
