,DN##length##millimeters,Ra##other##,L##length##millimeters,A##length##millimeters,B##length##millimeters,C##length##millimeters,T##length##millimeters,V##length##millimeters,V2##length##millimeters,V3##length##millimeters,Dk##length##millimeters
1,40.000000,14,140.000000,121.000000,74.000000,61.000000,46.000000,228.000000,29.000000,72.000000,200.000000
2,50.000000,14,150.000000,121.000000,88.000000,61.000000,39.000000,233.000000,29.000000,76.000000,200.000000
3,65.000000,14,170.000000,206.000000,124.000000,82.000000,48.000000,273.000000,27.000000,91.000000,250.000000
4,80.000000,14,180.000000,206.000000,124.000000,82.000000,46.000000,278.000000,27.000000,91.000000,250.000000
5,100.000000,14,190.000000,228.000000,147.000000,84.000000,54.000000,310.000000,38.000000,76.000000,300.000000
6,125.000000,14,200.000000,252.000000,187.000000,96.000000,55.000000,347.000000,38.000000,87.000000,300.000000
7,150.000000,14,210.000000,330.000000,213.000000,102.000000,55.000000,386.000000,38.000000,87.000000,300.000000
8,200.000000,14,230.000000,413.000000,270.000000,116.000000,56.000000,493.000000,42.000000,103.000000,400.000000
9,250.000000,14,250.000000,472.000000,333.000000,140.000000,135.000000,606.000000,47.000000,125.000000,500.000000
10,300.000000,14,270.000000,619.000000,394.000000,165.000000,214.000000,670.000000,47.000000,115.000000,500.000000
11,350.000000,14,290.000000,619.000000,470.000000,175.000000,226.000000,852.000000,58.000000,121.000000,500.000000
13,400.000000,14,310.000000,619.000000,524.000000,205.000000,265.000000,936.000000,70.000000,125.000000,630.000000
14,500.000000,14,350.000000,726.000000,628.000000,220.000000,329.000000,1096.000000,75.000000,194.000000,630.000000
15,600.000000,14,390.000000,954.000000,857.000000,274.000000,410.000000,1278.000000,95.000000,148.000000,720.000000
16,40.000000,15,240.000000,121.000000,74.000000,61.000000,46.000000,228.000000,29.000000,72.000000,200.000000
17,50.000000,15,250.000000,121.000000,88.000000,61.000000,39.000000,233.000000,29.000000,76.000000,200.000000
18,65.000000,15,270.000000,206.000000,124.000000,82.000000,48.000000,273.000000,27.000000,91.000000,250.000000
19,80.000000,15,280.000000,206.000000,124.000000,82.000000,46.000000,278.000000,27.000000,91.000000,250.000000
20,100.000000,15,300.000000,228.000000,147.000000,84.000000,54.000000,310.000000,38.000000,76.000000,300.000000
21,125.000000,15,325.000000,252.000000,187.000000,96.000000,55.000000,347.000000,38.000000,87.000000,300.000000
22,150.000000,15,350.000000,330.000000,213.000000,102.000000,55.000000,386.000000,38.000000,87.000000,300.000000
23,200.000000,15,400.000000,413.000000,270.000000,116.000000,56.000000,493.000000,42.000000,103.000000,400.000000
24,250.000000,15,450.000000,472.000000,333.000000,140.000000,135.000000,606.000000,47.000000,125.000000,500.000000
25,300.000000,15,500.000000,619.000000,394.000000,165.000000,214.000000,670.000000,47.000000,115.000000,500.000000
26,350.000000,15,550.000000,619.000000,470.000000,175.000000,226.000000,852.000000,58.000000,121.000000,500.000000
27,400.000000,15,600.000000,619.000000,524.000000,205.000000,265.000000,936.000000,70.000000,125.000000,630.000000
28,500.000000,15,700.000000,726.000000,628.000000,220.000000,329.000000,1096.000000,75.000000,194.000000,630.000000
